time,rain_fall,temp,humidity,wind_direction,wind_speed,rain_now,rain_next_hour
1/5/2017 1:00,0,22,88.0,NW,1,No,No
1/5/2017 2:00,0,21.8,89.0,NA,NA,No,No
1/5/2017 3:00,0,21.7,90.0,NA,NA,No,No
1/5/2017 4:00,0,21.6,93.0,NA,NA,No,No
1/5/2017 5:00,0,21.7,95.0,NA,NA,No,No
1/5/2017 6:00,0,21.8,96.0,NA,NA,No,No
1/5/2017 7:00,0,22.7,86.0,NW,1,No,No
1/5/2017 8:00,0,24.6,85.0,NA,NA,No,No
1/5/2017 9:00,0,25.9,86.0,NA,NA,No,No
1/5/2017 10:00,0,26.5,89.0,NA,NA,No,No
1/5/2017 11:00,0,26.4,89.0,NA,NA,No,No
1/5/2017 12:00,0,26.8,79.0,NA,NA,No,No
1/5/2017 13:00,0,26.9,78.0,N,3,No,No
1/5/2017 14:00,0,27.3,77.0,NA,NA,No,No
1/5/2017 15:00,0,27.2,78.0,NA,NA,No,No
1/5/2017 16:00,0,25.8,82.0,NA,NA,No,No
1/5/2017 17:00,0,24.6,84.0,NA,NA,No,No
1/5/2017 18:00,0,24.3,86.0,NA,NA,No,No
1/5/2017 19:00,0,23.9,88.0,N,1,No,No
1/5/2017 20:00,0,23.8,89.0,NA,NA,No,No
1/5/2017 21:00,0,23.8,90.0,NA,NA,No,No
1/5/2017 22:00,0,23.8,91.0,NA,NA,No,No
1/5/2017 23:00,0,23.5,95.0,NA,NA,No,No
1/6/2017 0:00,0,23.3,95.0,NA,NA,No,No
1/6/2017 1:00,0,23.1,94.0,Unknown,0,No,No
1/6/2017 2:00,0,22.9,95.0,NA,NA,No,No
1/6/2017 3:00,0,22.8,95.0,NA,NA,No,No
1/6/2017 4:00,0,22.8,95.0,NA,NA,No,No
1/6/2017 5:00,0,22.8,95.0,NA,NA,No,No
1/6/2017 6:00,0,22.8,95.0,NA,NA,No,No
1/6/2017 7:00,0,23.2,91.0,NNW,1,No,No
1/6/2017 8:00,0,24.4,88.0,NA,NA,No,No
1/6/2017 9:00,0,25.4,89.0,NA,NA,No,No
1/6/2017 10:00,0,25.4,87.0,NA,NA,No,Yes
1/6/2017 11:00,6,23.3,82.0,NA,NA,Yes,No
1/6/2017 12:00,0,23.4,79.0,NA,NA,No,No
1/6/2017 13:00,0,23.7,82.0,NW,1,No,No
1/6/2017 14:00,0,24.4,76.0,NA,NA,No,No
1/6/2017 15:00,0,24.5,74.0,NA,NA,No,No
1/6/2017 16:00,0,24.5,77.0,NA,NA,No,No
1/6/2017 17:00,0,24.1,83.0,NA,NA,No,No
1/6/2017 18:00,0,23.9,87.0,NA,NA,No,No
1/6/2017 19:00,0,23.8,89.0,Unknown,0,No,No
1/6/2017 20:00,0,23.2,89.0,NA,NA,No,No
1/6/2017 21:00,0,22.9,91.0,NA,NA,No,No
1/6/2017 22:00,0,22.8,92.0,NA,NA,No,No
1/6/2017 23:00,0,22.7,92.0,NA,NA,No,No
1/7/2017 0:00,0,22.4,93.0,NA,NA,No,No
1/7/2017 1:00,0,22,92.0,NW,1,No,No
1/7/2017 2:00,0,22,92.0,NA,NA,No,No
1/7/2017 3:00,0,21.9,93.0,NA,NA,No,No
1/7/2017 4:00,0,22.1,93.0,NA,NA,No,No
1/7/2017 5:00,0,22.2,94.0,NA,NA,No,No
1/7/2017 6:00,0,22.3,96.0,NA,NA,No,No
1/7/2017 7:00,0,23.2,96.0,WNW,1,No,No
1/7/2017 8:00,0,24.7,96.0,NA,NA,No,No
1/7/2017 9:00,0,25.5,96.0,NA,NA,No,No
1/7/2017 10:00,0,26.2,95.0,NA,NA,No,No
1/7/2017 11:00,0,27,93.0,NA,NA,No,No
1/7/2017 12:00,0,27.3,89.0,NA,NA,No,No
1/7/2017 13:00,0,26.9,86.0,N,2,No,No
1/7/2017 14:00,0,26.6,90.0,NA,NA,No,No
1/7/2017 15:00,0,26.4,92.0,NA,NA,No,No
1/7/2017 16:00,0,25.9,94.0,NA,NA,No,No
1/7/2017 17:00,0,24.7,95.0,NA,NA,No,No
1/7/2017 18:00,0,23.8,95.0,NA,NA,No,No
1/7/2017 19:00,0,23.6,95.0,N,1,No,No
1/7/2017 20:00,0,23.6,95.0,NA,NA,No,No
1/7/2017 21:00,0,23.7,95.0,NA,NA,No,No
1/7/2017 22:00,0,23.6,95.0,NA,NA,No,No
1/7/2017 23:00,0,23.6,95.0,NA,NA,No,No
1/8/2017 0:00,0,23.5,95.0,NA,NA,No,No
1/8/2017 1:00,0,23.4,95.0,NW,1,No,No
1/8/2017 2:00,0,23.1,96.0,NA,NA,No,No
1/8/2017 3:00,0,23,96.0,NA,NA,No,No
1/8/2017 4:00,0,23,96.0,NA,NA,No,No
1/8/2017 5:00,0,23.1,96.0,NA,NA,No,No
1/8/2017 6:00,0,23,95.0,NA,NA,No,No
